post_id	c	i
32760018	1.0	0.0
48461558	1.0	0.0
2876368	1.0	0.0
29348544	1.0	0.0
43610274	1.0	0.0
11094892	1.0	0.0
13096747	1.0	0.0
43212216	2.0	0.0
39181082	1.0	0.0
66349919	0.0	1.0
62392937	0.0	2.0
73540507	0.0	1.0
74848909	0.0	1.0
80277000	0.0	1.0
52912590	0.0	1.0
80321831	0.0	1.0
80321890	0.0	1.0
65736768	0.0	1.0
82915420	0.0	1.0
59236869	0.0	1.0
82250562	0.0	1.0
68287349	0.0	1.0
63570285	0.0	1.0
63574375	0.0	1.0
73287675	0.0	1.0
73320898	0.0	1.0
75408046	0.0	1.0
60326445	0.0	1.0
60332636	0.0	1.0
60363289	0.0	1.0
77287480	0.0	1.0
44548288	0.0	1.0
44670474	0.0	1.0
77853223	0.0	1.0
78511821	0.0	1.0
61440585	0.0	1.0
61440689	0.0	1.0
74039897	0.0	1.0
64988274	0.0	1.0
49436093	0.0	1.0
52324193	0.0	1.0
68167083	0.0	1.0
68167688	0.0	1.0
68168471	0.0	1.0
68170577	0.0	1.0
67261174	0.0	1.0
67263991	0.0	1.0
67271588	0.0	2.0
82045493	0.0	1.0
71722596	0.0	1.0
81321556	0.0	1.0
82873161	0.0	1.0
82611115	0.0	1.0
72005357	0.0	1.0
67930844	0.0	2.0
69129665	0.0	2.0
69132279	0.0	1.0
69648742	0.0	1.0
